sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56859	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56860	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56862	stdlib	v1.26.4	1.25.13, 1.26.6, 1.27.0-rc.3	crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56864	golang.org/x/mod	v0.28.0	0.40.0	golang.org/x/mod/sumdb: golang.org/x/mod/sumdb: Integrity bypass via malicious GOSUMDB
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-56865	golang.org/x/mod	v0.28.0	0.40.0	golang.org/x/mod/sumdb/tlog: golang.org/x/mod/sumdb/tlog: Supply chain compromise via transparency log tile verification bypass
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-84304	google.golang.org/grpc	v1.72.2	1.83.1	gRPC-Go is the Go language implementation of gRPC. Prior to 1.83.1, in ...
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	CVE-2026-84445	google.golang.org/grpc	v1.72.2	1.82.2, 1.83.2, 1.85.0-dev.0.20260825072537-93e31b48545e	google.golang.org/grpc: gRPC-Go: Denial of Service via malformed RPC requests
sysroot/ostree/repo/objects/01/03ded4f8c4642b01ebd0c74d88f384869b1ca3d1e8aa98a735c9bf0b6107e5.file	HIGH	GHSA-hrxh-6v49-42gf	google.golang.org/grpc	v1.72.2	1.82.1	gRPC-Go: xDS RBAC and HTTP/2 Vulnerabilities
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2025-22869	golang.org/x/crypto	v0.33.0	0.35.0	golang.org/x/crypto/ssh: Denial of Service in the Key Exchange of golang.org/x/crypto/ssh
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2025-47913	golang.org/x/crypto	v0.33.0	0.43.0	golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: SSH client panic due to unexpected SSH_AGENT_SUCCESS
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-25679	stdlib	v1.26rc2	1.25.8, 1.26.1	net/url: Incorrect parsing of IPv6 host literals in net/url
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-27137	stdlib	v1.26rc2	1.26.1	crypto/x509: Incorrect enforcement of email constraints in crypto/x509
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-27145	stdlib	v1.26rc2	1.25.11, 1.26.4	crypto/x509: golang: golang crypto/x509: Denial of Service via excessive processing of DNS SAN entries
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-32280	stdlib	v1.26rc2	1.25.9, 1.26.2	crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building
sysroot/ostree/repo/objects/02/7c0ff7af6a84e7b2b0f7c32ab83676839d85d687dbf56df1bf9eafa5841612.file	HIGH	CVE-2026-32281	stdlib	v1.26rc2	1.25.9, 1.26.2	crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation
